filename,file_path,ground_truth,prediction,confidence,manipulation_score,neural_score,fft_score,ela_score,face_count,is_correct,status
fake_0.jpg,C:\Users\AARUSH\Downloads\dataset3\Dataset\Test\Fake\fake_0.jpg,Fake,Fake,0.9343,0.9343,0.9835,0.8261,0.0922,1,True,SUCCESS
fake_1.jpg,C:\Users\AARUSH\Downloads\dataset3\Dataset\Test\Fake\fake_1.jpg,Fake,Fake,0.9298,0.9298,0.9787,0.7621,0.0744,1,True,SUCCESS
fake_10.jpg,C:\Users\AARUSH\Downloads\dataset3\Dataset\Test\Fake\fake_10.jpg,Fake,Fake,0.929,0.929,0.9779,0.7382,0.0801,1,True,SUCCESS
fake_100.jpg,C:\Users\AARUSH\Downloads\dataset3\Dataset\Test\Fake\fake_100.jpg,Fake,Fake,0.9268,0.9268,0.9756,0.7521,0.071,1,True,SUCCESS
fake_1000.jpg,C:\Users\AARUSH\Downloads\dataset3\Dataset\Test\Fake\fake_1000.jpg,Fake,Fake,0.9325,0.9325,0.9816,0.7068,0.0674,1,True,SUCCESS
fake_1001.jpg,C:\Users\AARUSH\Downloads\dataset3\Dataset\Test\Fake\fake_1001.jpg,Fake,Fake,0.8258,0.8258,0.8693,0.7815,0.05,1,True,SUCCESS
fake_1002.jpg,C:\Users\AARUSH\Downloads\dataset3\Dataset\Test\Fake\fake_1002.jpg,Fake,Fake,0.9163,0.9163,0.9645,0.7302,0.0515,1,True,SUCCESS
fake_1003.jpg,C:\Users\AARUSH\Downloads\dataset3\Dataset\Test\Fake\fake_1003.jpg,Fake,Fake,0.9274,0.9274,0.9762,0.7499,0.0521,1,True,SUCCESS
fake_1004.jpg,C:\Users\AARUSH\Downloads\dataset3\Dataset\Test\Fake\fake_1004.jpg,Fake,Fake,0.8349,0.8349,0.8789,0.7178,0.0543,1,True,SUCCESS
fake_1005.jpg,C:\Users\AARUSH\Downloads\dataset3\Dataset\Test\Fake\fake_1005.jpg,Fake,Fake,0.9321,0.9321,0.9812,0.7665,0.05,1,True,SUCCESS
fake_1006.jpg,C:\Users\AARUSH\Downloads\dataset3\Dataset\Test\Fake\fake_1006.jpg,Fake,Fake,0.9296,0.9296,0.9785,0.7969,0.05,1,True,SUCCESS
fake_1007.jpg,C:\Users\AARUSH\Downloads\dataset3\Dataset\Test\Fake\fake_1007.jpg,Fake,Fake,0.9271,0.9271,0.9759,0.6881,0.0532,1,True,SUCCESS
